Technique ID,Technique,Component,Stage,Disposition,Exact or Supporting Checks,Planned Controls,Gap or Boundary Owner,Remaining Work or Boundary,Rationale,Component Limitation,Source Version,Official Source,Claim Boundary
T-E018,BitTorrent DHT for C2,endpoint,Post-Compromise,gap,PSB-SOURCE-001-DEH-008; PSB-SOURCE-001-END-012,,endpoint-security,"Detect DHT protocol use, unexpected UDP peer traffic, and embedded command retrieval while accounting for sanctioned peer-to-peer tools.",Generic egress and EDR coverage does not directly verify BitTorrent DHT C2 detection.,"Repository fixtures do not prove live endpoint fleet enrollment, telemetry health, phishing resistance, network enforcement, or incident recovery.",1.0.0@d1d1536,https://github.com/wiz-sec-public/SITF/blob/d1d1536da5cbc7107fb90ab3f5a4b1f62b21ea59/techniques.json,"This repository profile records direct or partial reference-control coverage against a pinned threat taxonomy. It is not a compliance claim, organization adoption result, or proof that an attack technique is completely mitigated."
T-E019,OAuth Token Abuse for Cross-Organizational Access,endpoint,Initial Access,gap,PSB-SOURCE-004-SCL-013; PSB-SOURCE-004-SCL-017,,endpoint-security,"Inventory OAuth grants, constrain tenant and organization audience, detect cross-organization token use, and automate grant revocation.","Approved OAuth and credential ownership are covered for GitHub MCP, but cross-organizational OAuth abuse is not generally enforced.","Repository fixtures do not prove live endpoint fleet enrollment, telemetry health, phishing resistance, network enforcement, or incident recovery.",1.0.0@d1d1536,https://github.com/wiz-sec-public/SITF/blob/d1d1536da5cbc7107fb90ab3f5a4b1f62b21ea59/techniques.json,"This repository profile records direct or partial reference-control coverage against a pinned threat taxonomy. It is not a compliance claim, organization adoption result, or proof that an attack technique is completely mitigated."
T-V001,Abuse Credentials for VCS Access,vcs,Initial Access,implemented,PSB-SOURCE-004-SCL-003; PSB-SOURCE-004-SCL-007; PSB-SOURCE-004-SCL-008; PSB-SOURCE-004-SCL-010,,source-platform-security,,"Resource-restricted tokens, phishing-resistant login, hardware-protected SSH keys, and automated revocation directly constrain credential abuse for VCS access.","Repository fixtures do not prove live source-provider policy, read-event completeness, service patching, backups, or organization-wide enforcement.",1.0.0@d1d1536,https://github.com/wiz-sec-public/SITF/blob/d1d1536da5cbc7107fb90ab3f5a4b1f62b21ea59/techniques.json,"This repository profile records direct or partial reference-control coverage against a pinned threat taxonomy. It is not a compliance claim, organization adoption result, or proof that an attack technique is completely mitigated."
T-V002,Imposter Commits,vcs,Post-Compromise,implemented,PSB-SOURCE-001-END-013; PSB-SOURCE-002-GHK-005,,source-platform-security,,Enforced signed commits and repository-owned Git configuration directly make unsigned or wrongly attributed imposter commits rejectable.,"Repository fixtures do not prove live source-provider policy, read-event completeness, service patching, backups, or organization-wide enforcement.",1.0.0@d1d1536,https://github.com/wiz-sec-public/SITF/blob/d1d1536da5cbc7107fb90ab3f5a4b1f62b21ea59/techniques.json,"This repository profile records direct or partial reference-control coverage against a pinned threat taxonomy. It is not a compliance claim, organization adoption result, or proof that an attack technique is completely mitigated."
T-V003,Secret Exfiltration from Repo,vcs,Discovery and Lateral Movement,gap,PSB-SOURCE-001-DEH-004; PSB-SOURCE-003-PRE-004; PSB-SOURCE-004-SCL-003,,source-platform-security,"Verify repository read authorization, bulk-clone and archive-download detection, egress controls, and attributable response for sensitive repositories.","Secret scanning reduces stored secret exposure and credentials are scoped, but an authorized read session can still exfiltrate repository content.","Repository fixtures do not prove live source-provider policy, read-event completeness, service patching, backups, or organization-wide enforcement.",1.0.0@d1d1536,https://github.com/wiz-sec-public/SITF/blob/d1d1536da5cbc7107fb90ab3f5a4b1f62b21ea59/techniques.json,"This repository profile records direct or partial reference-control coverage against a pinned threat taxonomy. It is not a compliance claim, organization adoption result, or proof that an attack technique is completely mitigated."
T-V004,Secret Exfiltration from Personal Repo,vcs,Discovery and Lateral Movement,gap,PSB-SOURCE-003-PRE-010; PSB-SOURCE-003-PRE-013,,source-platform-security,"Define ownership and monitoring for work-related personal repositories, forks, archives, and tokens without assuming enterprise controls cover personal accounts.","Fork remnants and organization searches are reviewed, but personal repository read and export activity remains outside the current evidence boundary.","Repository fixtures do not prove live source-provider policy, read-event completeness, service patching, backups, or organization-wide enforcement.",1.0.0@d1d1536,https://github.com/wiz-sec-public/SITF/blob/d1d1536da5cbc7107fb90ab3f5a4b1f62b21ea59/techniques.json,"This repository profile records direct or partial reference-control coverage against a pinned threat taxonomy. It is not a compliance claim, organization adoption result, or proof that an attack technique is completely mitigated."
T-V005,VCS Vulnerability Exploitation,vcs,Initial Access,gap,PSB-DETECT-001-DVS-001; PSB-DETECT-001-DVS-003,,source-platform-security,"Verify VCS server and client version inventory, vulnerability intelligence, patch deadlines, compensating isolation, and patch-failure evidence.","The scanner interface is integrity verified, but no control applies it to VCS platform vulnerability management.","Repository fixtures do not prove live source-provider policy, read-event completeness, service patching, backups, or organization-wide enforcement.",1.0.0@d1d1536,https://github.com/wiz-sec-public/SITF/blob/d1d1536da5cbc7107fb90ab3f5a4b1f62b21ea59/techniques.json,"This repository profile records direct or partial reference-control coverage against a pinned threat taxonomy. It is not a compliance claim, organization adoption result, or proof that an attack technique is completely mitigated."
T-V006,Turn Private Repos Public,vcs,Post-Compromise,implemented,PSB-SOURCE-003-PRE-001; PSB-CICD-008-CPC-003; PSB-CICD-008-CPC-005,,source-platform-security,,"Public visibility requires explicit approval, and the privileged-change evidence binds the exact before and after repository state to the approved request.","Repository fixtures do not prove live source-provider policy, read-event completeness, service patching, backups, or organization-wide enforcement.",1.0.0@d1d1536,https://github.com/wiz-sec-public/SITF/blob/d1d1536da5cbc7107fb90ab3f5a4b1f62b21ea59/techniques.json,"This repository profile records direct or partial reference-control coverage against a pinned threat taxonomy. It is not a compliance claim, organization adoption result, or proof that an attack technique is completely mitigated."
T-V007,Clone Sensitive Repositories,vcs,Post-Compromise,gap,PSB-SOURCE-004-SCL-003; PSB-SOURCE-004-SCL-011,,source-platform-security,"Add complete repository read audit, archive and clone volume thresholds, network context, alert delivery, and response for sensitive repositories.","Credential scope and lifecycle audit reduce access, but they do not detect use of valid read authority to clone sensitive repositories.","Repository fixtures do not prove live source-provider policy, read-event completeness, service patching, backups, or organization-wide enforcement.",1.0.0@d1d1536,https://github.com/wiz-sec-public/SITF/blob/d1d1536da5cbc7107fb90ab3f5a4b1f62b21ea59/techniques.json,"This repository profile records direct or partial reference-control coverage against a pinned threat taxonomy. It is not a compliance claim, organization adoption result, or proof that an attack technique is completely mitigated."
T-V008,Malicious Repo Hosting,vcs,Post-Compromise,gap,PSB-SOURCE-003-PRE-001; PSB-SOURCE-003-PRE-006,,source-platform-security,"Detect compromised organization accounts creating or repurposing repositories for payload hosting, including releases, Pages, and workflow artifacts.",Public exposure review covers owned content but does not directly identify malicious repository hosting after account compromise.,"Repository fixtures do not prove live source-provider policy, read-event completeness, service patching, backups, or organization-wide enforcement.",1.0.0@d1d1536,https://github.com/wiz-sec-public/SITF/blob/d1d1536da5cbc7107fb90ab3f5a4b1f62b21ea59/techniques.json,"This repository profile records direct or partial reference-control coverage against a pinned threat taxonomy. It is not a compliance claim, organization adoption result, or proof that an attack technique is completely mitigated."
T-V009,Mass Deletion of Repositories,vcs,Post-Compromise,implemented,PSB-SOURCE-005-RDR-001; PSB-SOURCE-005-RDR-002; PSB-SOURCE-005-RDR-003; PSB-SOURCE-005-RDR-006,,source-platform-security,,Complete stable-ID scope bounded destructive actions attacker-separated retained recovery copies and exact isolated restore drills directly reduce repository mass-deletion impact; audit containment and live provider adoption remain external integration requirements.,"Repository fixtures do not prove live source-provider policy, read-event completeness, service patching, backups, or organization-wide enforcement.",1.0.0@d1d1536,https://github.com/wiz-sec-public/SITF/blob/d1d1536da5cbc7107fb90ab3f5a4b1f62b21ea59/techniques.json,"This repository profile records direct or partial reference-control coverage against a pinned threat taxonomy. It is not a compliance claim, organization adoption result, or proof that an attack technique is completely mitigated."
T-V010,Malicious Code Modification in Repository,vcs,Post-Compromise,implemented,PSB-CICD-005-PRB-001; PSB-CICD-005-PRB-005; PSB-CICD-008-CPC-003; PSB-CICD-008-CPC-004,,source-platform-security,,Untrusted changes remain unprivileged and protected source changes bind an exact target and before-after state to independent approval.,"Repository fixtures do not prove live source-provider policy, read-event completeness, service patching, backups, or organization-wide enforcement.",1.0.0@d1d1536,https://github.com/wiz-sec-public/SITF/blob/d1d1536da5cbc7107fb90ab3f5a4b1f62b21ea59/techniques.json,"This repository profile records direct or partial reference-control coverage against a pinned threat taxonomy. It is not a compliance claim, organization adoption result, or proof that an attack technique is completely mitigated."
T-V011,Git Tag/Reference Manipulation,vcs,Post-Compromise,implemented,PSB-CICD-008-CPC-003; PSB-CICD-008-CPC-005; PSB-REL-001-REL-004,,source-platform-security,,Protected reference changes are bound to reviewed control-plane evidence and release consumers reject silent trust-signal downgrades.,"Repository fixtures do not prove live source-provider policy, read-event completeness, service patching, backups, or organization-wide enforcement.",1.0.0@d1d1536,https://github.com/wiz-sec-public/SITF/blob/d1d1536da5cbc7107fb90ab3f5a4b1f62b21ea59/techniques.json,"This repository profile records direct or partial reference-control coverage against a pinned threat taxonomy. It is not a compliance claim, organization adoption result, or proof that an attack technique is completely mitigated."
T-V012,Cross-Fork Object Reference Abuse,vcs,Initial Access,implemented,PSB-CICD-005-PRB-003; PSB-CICD-005-PRB-004; PSB-CICD-005-PRB-005; PSB-CICD-008-CPC-007,,source-platform-security,,"Exact pull-request revision binding, blocked cross-run elevation, separate trusted execution, and complete fork-network evidence directly address cross-fork object abuse.","Repository fixtures do not prove live source-provider policy, read-event completeness, service patching, backups, or organization-wide enforcement.",1.0.0@d1d1536,https://github.com/wiz-sec-public/SITF/blob/d1d1536da5cbc7107fb90ab3f5a4b1f62b21ea59/techniques.json,"This repository profile records direct or partial reference-control coverage against a pinned threat taxonomy. It is not a compliance claim, organization adoption result, or proof that an attack technique is completely mitigated."
T-C001,Abuse Credentials for CI/CD Access,cicd,Initial Access,implemented,PSB-CICD-008-CPC-001; PSB-CICD-008-CPC-002; PSB-CICD-008-CPC-005,,cicd-platform-security,,"Privileged CI/CD changes require an attributable current human, a short-lived reauthenticated session, and matching provider audit evidence.","Repository fixtures do not prove hosted-provider isolation, live credential policy, service availability, cache integrity, or fleet-wide workflow adoption.",1.0.0@d1d1536,https://github.com/wiz-sec-public/SITF/blob/d1d1536da5cbc7107fb90ab3f5a4b1f62b21ea59/techniques.json,"This repository profile records direct or partial reference-control coverage against a pinned threat taxonomy. It is not a compliance claim, organization adoption result, or proof that an attack technique is completely mitigated."
T-C002,Malicious Execution in Workflow Context,cicd,Initial Access,implemented,PSB-BUILD-001-BLD-001; PSB-BUILD-001-BLD-003; PSB-BUILD-001-BLD-004,,cicd-platform-security,,Workflow code executes without credentials or write permission in an ephemeral restricted sandbox with default-deny egress.,"Repository fixtures do not prove hosted-provider isolation, live credential policy, service availability, cache integrity, or fleet-wide workflow adoption.",1.0.0@d1d1536,https://github.com/wiz-sec-public/SITF/blob/d1d1536da5cbc7107fb90ab3f5a4b1f62b21ea59/techniques.json,"This repository profile records direct or partial reference-control coverage against a pinned threat taxonomy. It is not a compliance claim, organization adoption result, or proof that an attack technique is completely mitigated."
T-C003,PWN Request / Poisoned Pipeline Execution,cicd,Initial Access,implemented,PSB-CICD-005-PRB-001; PSB-CICD-005-PRB-002; PSB-CICD-005-PRB-004; PSB-CICD-005-PRB-005,,cicd-platform-security,,Untrusted pull requests run unprivileged on a reviewed hosted runner and cannot elevate through cross-run paths into a privileged workflow.,"Repository fixtures do not prove hosted-provider isolation, live credential policy, service availability, cache integrity, or fleet-wide workflow adoption.",1.0.0@d1d1536,https://github.com/wiz-sec-public/SITF/blob/d1d1536da5cbc7107fb90ab3f5a4b1f62b21ea59/techniques.json,"This repository profile records direct or partial reference-control coverage against a pinned threat taxonomy. It is not a compliance claim, organization adoption result, or proof that an attack technique is completely mitigated."
T-C004,Workflow Script Injection,cicd,Initial Access,implemented,PSB-CICD-002-INJ-001; PSB-CICD-002-INJ-002; PSB-CICD-002-INJ-004,,cicd-platform-security,,"Direct expression interpolation into runner scripts is rejected, untrusted values cross through environment variables, and parser failure is not clean.","Repository fixtures do not prove hosted-provider isolation, live credential policy, service availability, cache integrity, or fleet-wide workflow adoption.",1.0.0@d1d1536,https://github.com/wiz-sec-public/SITF/blob/d1d1536da5cbc7107fb90ab3f5a4b1f62b21ea59/techniques.json,"This repository profile records direct or partial reference-control coverage against a pinned threat taxonomy. It is not a compliance claim, organization adoption result, or proof that an attack technique is completely mitigated."
T-C005,Secret Exfiltration from Workflow,cicd,Discovery and Lateral Movement,implemented,PSB-BUILD-001-BLD-001; PSB-BUILD-001-BLD-003; PSB-CICD-004-PERM-002,,cicd-platform-security,,Untrusted workflow execution is credential-free and egress-denied while each job token is restricted to its reviewed purpose.,"Repository fixtures do not prove hosted-provider isolation, live credential policy, service availability, cache integrity, or fleet-wide workflow adoption.",1.0.0@d1d1536,https://github.com/wiz-sec-public/SITF/blob/d1d1536da5cbc7107fb90ab3f5a4b1f62b21ea59/techniques.json,"This repository profile records direct or partial reference-control coverage against a pinned threat taxonomy. It is not a compliance claim, organization adoption result, or proof that an attack technique is completely mitigated."
T-C006,Secret Enumeration in Workflows Using GitHub Search,cicd,Discovery and Lateral Movement,gap,PSB-SOURCE-003-PRE-006; PSB-CICD-004-PERM-002,,cicd-platform-security,"Scan workflow definitions, logs, artifacts, and public search results for secret-reference enumeration patterns without exposing secret values.",Public Actions output review and job-token minimization are supporting controls but do not directly detect GitHub Search-based secret enumeration.,"Repository fixtures do not prove hosted-provider isolation, live credential policy, service availability, cache integrity, or fleet-wide workflow adoption.",1.0.0@d1d1536,https://github.com/wiz-sec-public/SITF/blob/d1d1536da5cbc7107fb90ab3f5a4b1f62b21ea59/techniques.json,"This repository profile records direct or partial reference-control coverage against a pinned threat taxonomy. It is not a compliance claim, organization adoption result, or proof that an attack technique is completely mitigated."
T-C007,Action Cache Poisoning,cicd,Post-Compromise,implemented,PSB-CICD-009-CAC-001; PSB-CICD-009-CAC-002; PSB-CICD-009-CAC-003; PSB-CICD-009-CAC-004; PSB-CICD-009-CAC-005; PSB-CICD-009-CAC-006,,cicd-platform-security,,Signed producer provenance and exact repository workflow trust platform revision dependency content path lifetime and lookup identities directly reject cross-boundary cache promotion and broad restore fallback; provider adoption remains outside the repository result.,"Repository fixtures do not prove hosted-provider isolation, live credential policy, service availability, cache integrity, or fleet-wide workflow adoption.",1.0.0@d1d1536,https://github.com/wiz-sec-public/SITF/blob/d1d1536da5cbc7107fb90ab3f5a4b1f62b21ea59/techniques.json,"This repository profile records direct or partial reference-control coverage against a pinned threat taxonomy. It is not a compliance claim, organization adoption result, or proof that an attack technique is completely mitigated."
T-C008,Malicious Workflow Performing Code Modification,cicd,Post-Compromise,implemented,PSB-CICD-004-PERM-004; PSB-CICD-008-CPC-003; PSB-CICD-008-CPC-004; PSB-CICD-008-CPC-005,,cicd-platform-security,,Write-capable jobs are restricted and protected workflow or repository policy changes bind exact state to independent approval and provider execution.,"Repository fixtures do not prove hosted-provider isolation, live credential policy, service availability, cache integrity, or fleet-wide workflow adoption.",1.0.0@d1d1536,https://github.com/wiz-sec-public/SITF/blob/d1d1536da5cbc7107fb90ab3f5a4b1f62b21ea59/techniques.json,"This repository profile records direct or partial reference-control coverage against a pinned threat taxonomy. It is not a compliance claim, organization adoption result, or proof that an attack technique is completely mitigated."
