Control ID,Domain,Control Status,Reference Evidence Level,Atomic Checks,Automated Checks,Hybrid Checks,Manual Checks,External Evidence Checks,Reviewed Mapping Checks,Provisional Mapping Checks,Unmapped Checks,Framework Relationships,Assessment Adapter,Catalog Claim Boundary,Organization Adoption,Evidence Freshness,Active Exceptions,Expiring Exceptions,Expired or Invalid Exceptions,Governance Result
PSB-BUILD-003,build-security,prototype,E3,5,2,3,0,0,4,0,1,2,not-provided,REFERENCE_IMPLEMENTATION_ONLY,NOT_CHECKED,NOT_CHECKED,NOT_CHECKED,NOT_CHECKED,NOT_CHECKED,NOT_CHECKED
PSB-CICD-001,cicd-security,prototype,E3,6,6,0,0,0,5,0,1,4,not-provided,REFERENCE_IMPLEMENTATION_ONLY,NOT_CHECKED,NOT_CHECKED,NOT_CHECKED,NOT_CHECKED,NOT_CHECKED,NOT_CHECKED
PSB-CICD-002,cicd-security,prototype,E3,4,4,0,0,0,2,0,2,3,not-provided,REFERENCE_IMPLEMENTATION_ONLY,NOT_CHECKED,NOT_CHECKED,NOT_CHECKED,NOT_CHECKED,NOT_CHECKED,NOT_CHECKED
PSB-CICD-003,cicd-security,adopted,E3,5,4,1,0,0,5,0,0,2,not-provided,REFERENCE_IMPLEMENTATION_ONLY,NOT_CHECKED,NOT_CHECKED,NOT_CHECKED,NOT_CHECKED,NOT_CHECKED,NOT_CHECKED
PSB-CICD-004,cicd-security,prototype,E3,6,5,1,0,0,5,0,1,6,not-provided,REFERENCE_IMPLEMENTATION_ONLY,NOT_CHECKED,NOT_CHECKED,NOT_CHECKED,NOT_CHECKED,NOT_CHECKED,NOT_CHECKED
PSB-CICD-005,cicd-security,prototype,E3,6,5,1,0,0,5,0,1,5,not-provided,REFERENCE_IMPLEMENTATION_ONLY,NOT_CHECKED,NOT_CHECKED,NOT_CHECKED,NOT_CHECKED,NOT_CHECKED,NOT_CHECKED
PSB-CICD-006,cicd-security,prototype,E3,8,5,3,0,0,7,0,1,4,not-provided,REFERENCE_IMPLEMENTATION_ONLY,NOT_CHECKED,NOT_CHECKED,NOT_CHECKED,NOT_CHECKED,NOT_CHECKED,NOT_CHECKED
PSB-CICD-007,cicd-security,prototype,E3,9,4,5,0,0,8,0,1,6,not-provided,REFERENCE_IMPLEMENTATION_ONLY,NOT_CHECKED,NOT_CHECKED,NOT_CHECKED,NOT_CHECKED,NOT_CHECKED,NOT_CHECKED
PSB-CICD-008,cicd-security,prototype,E3,7,5,2,0,0,6,0,1,10,not-provided,REFERENCE_IMPLEMENTATION_ONLY,NOT_CHECKED,NOT_CHECKED,NOT_CHECKED,NOT_CHECKED,NOT_CHECKED,NOT_CHECKED
PSB-CICD-009,cicd-security,prototype,E3,7,7,0,0,0,6,0,1,1,not-provided,REFERENCE_IMPLEMENTATION_ONLY,NOT_CHECKED,NOT_CHECKED,NOT_CHECKED,NOT_CHECKED,NOT_CHECKED,NOT_CHECKED
PSB-CODE-005,secure-coding,prototype,E3,6,6,0,0,0,4,0,2,1,not-provided,REFERENCE_IMPLEMENTATION_ONLY,NOT_CHECKED,NOT_CHECKED,NOT_CHECKED,NOT_CHECKED,NOT_CHECKED,NOT_CHECKED
PSB-CONTAINER-001,container-cloud-iac-security,adopted,E3,9,7,2,0,0,9,0,0,7,not-provided,REFERENCE_IMPLEMENTATION_ONLY,NOT_CHECKED,NOT_CHECKED,NOT_CHECKED,NOT_CHECKED,NOT_CHECKED,NOT_CHECKED
PSB-CONTAINER-002,container-cloud-iac-security,prototype,E3,7,3,4,0,0,6,0,1,3,not-provided,REFERENCE_IMPLEMENTATION_ONLY,NOT_CHECKED,NOT_CHECKED,NOT_CHECKED,NOT_CHECKED,NOT_CHECKED,NOT_CHECKED
PSB-CONTAINER-003,container-cloud-iac-security,prototype,E3,9,3,5,0,1,8,0,1,8,not-provided,REFERENCE_IMPLEMENTATION_ONLY,NOT_CHECKED,NOT_CHECKED,NOT_CHECKED,NOT_CHECKED,NOT_CHECKED,NOT_CHECKED
PSB-CONTAINER-004,container-cloud-iac-security,adopted,E3,12,10,2,0,0,10,0,2,1,not-provided,REFERENCE_IMPLEMENTATION_ONLY,NOT_CHECKED,NOT_CHECKED,NOT_CHECKED,NOT_CHECKED,NOT_CHECKED,NOT_CHECKED
PSB-DEPS-001,dependency-security,prototype,E3,10,7,3,0,0,9,0,1,2,not-provided,REFERENCE_IMPLEMENTATION_ONLY,NOT_CHECKED,NOT_CHECKED,NOT_CHECKED,NOT_CHECKED,NOT_CHECKED,NOT_CHECKED
PSB-DEPS-002,dependency-security,prototype,E3,5,5,0,0,0,4,0,1,2,not-provided,REFERENCE_IMPLEMENTATION_ONLY,NOT_CHECKED,NOT_CHECKED,NOT_CHECKED,NOT_CHECKED,NOT_CHECKED,NOT_CHECKED
PSB-DEPS-003,dependency-security,prototype,E3,5,5,0,0,0,4,0,1,2,not-provided,REFERENCE_IMPLEMENTATION_ONLY,NOT_CHECKED,NOT_CHECKED,NOT_CHECKED,NOT_CHECKED,NOT_CHECKED,NOT_CHECKED
PSB-DEPS-004,dependency-security,adopted,E3,9,8,1,0,0,9,0,0,5,not-provided,REFERENCE_IMPLEMENTATION_ONLY,NOT_CHECKED,NOT_CHECKED,NOT_CHECKED,NOT_CHECKED,NOT_CHECKED,NOT_CHECKED
PSB-DEPS-005,dependency-security,prototype,E3,9,8,1,0,0,8,0,1,13,not-provided,REFERENCE_IMPLEMENTATION_ONLY,NOT_CHECKED,NOT_CHECKED,NOT_CHECKED,NOT_CHECKED,NOT_CHECKED,NOT_CHECKED
PSB-DETECT-001,detection-verification,adopted,E3,8,8,0,0,0,8,0,0,5,not-provided,REFERENCE_IMPLEMENTATION_ONLY,NOT_CHECKED,NOT_CHECKED,NOT_CHECKED,NOT_CHECKED,NOT_CHECKED,NOT_CHECKED
PSB-DETECT-002,detection-verification,prototype,E3,10,9,1,0,0,8,0,2,12,not-provided,REFERENCE_IMPLEMENTATION_ONLY,NOT_CHECKED,NOT_CHECKED,NOT_CHECKED,NOT_CHECKED,NOT_CHECKED,NOT_CHECKED
PSB-GOV-001,governance-operations,prototype,E3,7,5,2,0,0,6,0,1,3,not-provided,REFERENCE_IMPLEMENTATION_ONLY,NOT_CHECKED,NOT_CHECKED,NOT_CHECKED,NOT_CHECKED,NOT_CHECKED,NOT_CHECKED
PSB-GOV-002,governance-operations,prototype,E3,8,8,0,0,0,5,0,3,2,not-provided,REFERENCE_IMPLEMENTATION_ONLY,NOT_CHECKED,NOT_CHECKED,NOT_CHECKED,NOT_CHECKED,NOT_CHECKED,NOT_CHECKED
PSB-GOV-003,governance-operations,prototype,E3,8,7,1,0,0,8,0,0,2,not-provided,REFERENCE_IMPLEMENTATION_ONLY,NOT_CHECKED,NOT_CHECKED,NOT_CHECKED,NOT_CHECKED,NOT_CHECKED,NOT_CHECKED
PSB-GOV-004,governance-operations,prototype,E3,10,5,5,0,0,8,0,2,3,not-provided,REFERENCE_IMPLEMENTATION_ONLY,NOT_CHECKED,NOT_CHECKED,NOT_CHECKED,NOT_CHECKED,NOT_CHECKED,NOT_CHECKED
PSB-GOV-005,governance-operations,prototype,E3,7,5,2,0,0,7,0,0,4,not-provided,REFERENCE_IMPLEMENTATION_ONLY,NOT_CHECKED,NOT_CHECKED,NOT_CHECKED,NOT_CHECKED,NOT_CHECKED,NOT_CHECKED
PSB-IAC-001,container-cloud-iac-security,prototype,E3,12,5,5,0,2,12,0,0,5,not-provided,REFERENCE_IMPLEMENTATION_ONLY,NOT_CHECKED,NOT_CHECKED,NOT_CHECKED,NOT_CHECKED,NOT_CHECKED,NOT_CHECKED
PSB-REL-001,release-integrity,prototype,E3,5,5,0,0,0,4,0,1,4,not-provided,REFERENCE_IMPLEMENTATION_ONLY,NOT_CHECKED,NOT_CHECKED,NOT_CHECKED,NOT_CHECKED,NOT_CHECKED,NOT_CHECKED
PSB-REL-002,release-integrity,prototype,E3,5,5,0,0,0,4,0,1,2,not-provided,REFERENCE_IMPLEMENTATION_ONLY,NOT_CHECKED,NOT_CHECKED,NOT_CHECKED,NOT_CHECKED,NOT_CHECKED,NOT_CHECKED
PSB-REL-003,release-integrity,prototype,E3,9,8,1,0,0,9,0,0,2,not-provided,REFERENCE_IMPLEMENTATION_ONLY,NOT_CHECKED,NOT_CHECKED,NOT_CHECKED,NOT_CHECKED,NOT_CHECKED,NOT_CHECKED
PSB-REL-004,release-integrity,prototype,E3,8,7,1,0,0,6,0,2,2,not-provided,REFERENCE_IMPLEMENTATION_ONLY,NOT_CHECKED,NOT_CHECKED,NOT_CHECKED,NOT_CHECKED,NOT_CHECKED,NOT_CHECKED
PSB-REL-005,release-integrity,prototype,E3,8,6,2,0,0,7,0,1,4,not-provided,REFERENCE_IMPLEMENTATION_ONLY,NOT_CHECKED,NOT_CHECKED,NOT_CHECKED,NOT_CHECKED,NOT_CHECKED,NOT_CHECKED
PSB-SOURCE-001,source-protection,prototype,E3,29,0,14,0,15,27,0,2,4,available,REFERENCE_IMPLEMENTATION_ONLY,NOT_CHECKED,NOT_CHECKED,NOT_CHECKED,NOT_CHECKED,NOT_CHECKED,NOT_CHECKED
PSB-SOURCE-002,source-protection,prototype,E3,13,12,1,0,0,12,0,1,4,not-provided,REFERENCE_IMPLEMENTATION_ONLY,NOT_CHECKED,NOT_CHECKED,NOT_CHECKED,NOT_CHECKED,NOT_CHECKED,NOT_CHECKED
PSB-SOURCE-003,source-protection,reference,E3,13,4,4,0,5,10,0,3,4,not-provided,REFERENCE_IMPLEMENTATION_ONLY,NOT_CHECKED,NOT_CHECKED,NOT_CHECKED,NOT_CHECKED,NOT_CHECKED,NOT_CHECKED
PSB-SOURCE-004,source-protection,prototype,E3,17,0,7,0,10,17,0,0,9,not-provided,REFERENCE_IMPLEMENTATION_ONLY,NOT_CHECKED,NOT_CHECKED,NOT_CHECKED,NOT_CHECKED,NOT_CHECKED,NOT_CHECKED
PSB-SOURCE-005,source-protection,prototype,E3,7,2,5,0,0,6,0,1,2,not-provided,REFERENCE_IMPLEMENTATION_ONLY,NOT_CHECKED,NOT_CHECKED,NOT_CHECKED,NOT_CHECKED,NOT_CHECKED,NOT_CHECKED
